,budget,cast,close,director,gross,mpaa,open,opening_gross,opening_theaters,rank,rating,season,studio,title,year,June-Sep,Oct-Nov,Jan-May,Dec,mpaa_new,PG,R,PG-13,prol_studio,Tier_2
1103153,75000000.0,,8/19,,47059963.0,"Rated PG-13 for violent action, sexual material and language",6/4,15837266.0,2859.0,69,5.4,June-Sep,LGF,Killers,2010,True,False,False,False,PG-13,False,False,True,False,False
1045658,21000000.0,,6/6,,132092958.0,Rated R for language and some sexual content/nudity,11/16,443003.0,16.0,23,7.8,Oct-Nov,Wein.,Silver Linings Playbook,2012,False,True,False,False,R,False,True,False,False,False
0889573,19000000.0,,11/18,,27779426.0,"Rated PG-13 for mature thematic content, sexual material including dialogue, some nudity, drug use and language",8/20,8436713.0,2012.0,98,6.1,June-Sep,Mira.,The Switch,2010,True,False,False,False,PG-13,False,False,True,False,False
1226273,60000000.0,,4/8,,43313890.0,Rated R for strong bloody violence and language,1/29,17214384.0,3066.0,73,6.6,Jan-May,WB,Edge of Darkness,2010,False,False,True,False,R,False,True,False,False,False
1226271,6400000.0,,2/11,,449865.0,Rated R for language,10/9,32065.0,6.0,241,7.6,Oct-Nov,SPC,The Damned United,2009,False,True,False,False,R,False,True,False,False,False
1572315,20000000.0,,2/28,,34341945.0,Rated R for strong grisly violence and language throughout,1/4,21744470.0,2654.0,84,4.8,Jan-May,LGF,Texas Chainsaw 3D,2013,False,False,True,False,R,False,True,False,False,False
0401729,275000000.0,,6/28,,73078100.0,Rated PG-13 for intense sequences of violence and action,3/9,30180188.0,3749.0,41,6.6,Jan-May,BV,John Carter,2012,False,False,True,False,PG-13,False,False,True,False,True
1743720,1800000.0,,9/1,,638476.0,Rated PG-13 for some language and sexual material,4/22,118294.0,18.0,237,6.6,Jan-May,SPC,POM Wonderful Presents: The Greatest Movie Ever Sold,2011,False,False,True,False,PG-13,False,False,True,False,False
1454029,25000000.0,,3/8,,169708112.0,Rated PG-13 for thematic material,8/10,26044590.0,2534.0,13,8.1,June-Sep,BV,The Help,2011,True,False,False,False,PG-13,False,False,True,False,True
1285016,40000000.0,,3/3,,96962694.0,"Rated PG-13 for sexual content, drug and alcohol use and language",10/1,22445653.0,2771.0,32,7.8,Oct-Nov,Sony,The Social Network,2010,False,True,False,False,PG-13,False,False,True,False,False
2713180,80000000.0,,1/19,,85817906.0,"Rated R for strong sequences of war violence, some grisly images, and language throughout",10/17,23702421.0,3173.0,39,7.6,Oct-Nov,Sony,Fury ,2014,False,True,False,False,R,False,True,False,False,False
0380510,95000000.0,,3/18,,44114232.0,"Rated PG-13 for mature thematic material involving disturbing violent content and images, and some language",12/11,116616.0,3.0,68,6.7,Dec,P/DW,The Lovely Bones,2009,False,False,False,True,PG-13,False,False,True,False,False
1399103,195000000.0,,10/13,,352390543.0,"Rated PG-13 for intense prolonged sequences of sci-fi action violence, mayhem and destruction, and for language, some sexuality and innuendo",6/29,97852865.0,4088.0,2,6.3,June-Sep,P/DW,Transformers: Dark of the Moon,2011,True,False,False,False,PG-13,False,False,True,False,False
1605783,30000000.0,,3/22,,56817045.0,Rated PG-13 for some sexual references and smoking,5/20,599003.0,6.0,59,7.7,Jan-May,SPC,Midnight in Paris,2011,False,False,True,False,PG-13,False,False,True,False,False
1907639,1000000.0,,6/24,,96734.0,"Rated PG-13 for mature thematic material, and teen drug and alcohol content",6/1,49879.0,22.0,370,5.4,June-Sep,RM,Hardflip,2012,True,False,False,False,PG-13,False,False,True,False,False
1462054,3000000.0,,7/1,,2848578.0,Rated PG for thematic material,4/9,1088873.0,897.0,165,6.1,Jan-May,Viv.,Letters to God,2010,False,False,True,False,PG,True,False,False,False,False
1418377,65000000.0,,3/20,,19075290.0,Rated PG-13 for sequences of intense fantasy action and violence throughout,1/24,8610441.0,2753.0,108,5.1,Jan-May,LGF,"I, Frankenstein",2014,False,False,True,False,PG-13,False,False,True,False,False
1790886,95000000.0,,11/22,,86907746.0,"Rated R for crude sexual content, language and brief nudity",8/10,26588460.0,3205.0,35,6.2,June-Sep,WB,The Campaign,2012,True,False,False,False,R,False,True,False,False,False
1790885,52500000.0,,3/31,,95720716.0,"Rated R for strong violence including brutal disturbing images, and for language",12/19,417150.0,5.0,32,7.4,Dec,Sony,Zero Dark Thirty,2012,False,False,False,True,R,False,True,False,False,False
1515091,125000000.0,,4/5,,186848418.0,"Rated PG-13 for intense sequences of violence and action, and some drug material",12/16,39637079.0,3703.0,9,7.5,Dec,WB,Sherlock Holmes: A Game of Shadows,2011,False,False,False,True,PG-13,False,False,True,False,False
1563738,15000000.0,,9/22,,13843771.0,"Rated PG-13 for sexual content, partial nudity, language, some violence and substance abuse",8/19,5079566.0,1719.0,130,7.0,June-Sep,Focus,One Day,2011,True,False,False,False,PG-13,False,False,True,False,False
1041804,90000000.0,,12/16,,195459.0,"Rated PG for thematic material, scary images, action and brief smoking",11/24,65944.0,42.0,283,4.4,Oct-Nov,Free,The Nutcracker in 3D,2010,False,True,False,False,PG,True,False,False,False,False
1408253,25000000.0,,4/17,,134938200.0,"Rated PG-13 for sequences of violence, sexual content and brief strong language",1/17,41516170.0,2663.0,21,6.1,Jan-May,Uni.,Ride Along,2014,False,False,True,False,PG-13,False,False,True,False,False
1086772,45000000.0,,8/28,,46294610.0,"Rated PG-13 for crude and sexual content, and language",5/23,14284031.0,3555.0,72,6.5,Jan-May,WB,Blended,2014,False,False,True,False,PG-13,False,False,True,False,False
1640484,7000000.0,,6/30,,37295394.0,Rated PG-13 for some sexual content,5/6,15215487.0,2035.0,85,5.6,Jan-May,TriS,Jumping the Broom,2011,False,False,True,False,PG-13,False,False,True,False,False
1555064,15000000.0,,2/17,,20218921.0,Rated PG-13 for thematic elements involving alcohol abuse and some sexual content,12/22,30452.0,2.0,116,6.3,Dec,SGem,Country Strong,2010,False,False,False,True,PG-13,False,False,True,False,False
2011159,13200000.0,,11/2,,52543632.0,"Rated PG-13 for sequences of violence, menace, terror, and for language",9/12,24250283.0,2175.0,60,5.6,June-Sep,SGem,No Good Deed ,2014,True,False,False,False,PG-13,False,False,True,False,False
1003034,6600000.0,,5/27,,828.0,"Rated R for violence, pervasive language, some drug use and sexual content",5/21,828.0,1.0,534,6.4,Jan-May,IFC,Perrier's Bounty,2010,False,False,True,False,R,False,True,False,False,False
1007029,14000000.0,,4/26,,30017992.0,Rated PG-13 for some violent images and brief nudity,12/30,220409.0,4.0,100,6.4,Dec,Wein.,The Iron Lady,2011,False,False,False,True,PG-13,False,False,True,False,False
1855325,65000000.0,,11/11,,42345531.0,Rated R for sequences of strong violence throughout,9/14,21052227.0,3012.0,79,5.4,June-Sep,SGem,Resident Evil: Retribution,2012,True,False,False,False,R,False,True,False,False,False
1981677,17000000.0,,2/14,,65001093.0,"Rated PG-13 for sexual material, language and drug references",9/28,5149433.0,335.0,48,7.2,June-Sep,Uni.,Pitch Perfect,2012,True,False,False,False,PG-13,False,False,True,False,False
