,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
112,1037705,0.0,0.0,0.0,3.0,3.0,1,66,The Book of Eli,2010,2
113,1645080,0.0,0.0,0.0,0.0,3.0,2,21,The Art of Getting By,2011,1
114,1645089,0.0,0.0,0.0,0.0,4.0,3,53,Inside Job,2010,1
115,1077368,1.0,0.0,0.0,4.0,2.0,1,66,Dark Shadows,2012,1
116,1250777,0.0,0.0,0.0,3.0,4.0,1,28,Kick-Ass,2010,2
117,1462769,0.0,0.0,0.0,2.0,3.0,2,11,The Odd Life of Timothy Green,2012,0
118,780504,0.0,0.0,0.0,3.0,4.0,2,17,Drive ,2011,2
119,1261945,1.0,0.0,0.0,3.0,1.0,1,67,Sex and the City 2,2010,2
120,2396566,0.0,0.0,0.0,0.0,3.0,2,48,20 Feet from Stardom,2013,1
121,785006,0.0,0.0,0.0,3.0,2.0,1,38,Hotel for Dogs,2009,0
122,1440129,2.0,0.0,0.0,4.0,2.0,1,61,Battleship,2012,1
123,1465522,0.0,0.0,0.0,0.0,4.0,2,32,Tucker & Dale Vs. Evil,2011,2
124,1719071,0.0,0.0,0.0,0.0,2.0,3,39,Another Happy Day,2011,2
125,1316616,0.0,0.0,0.0,0.0,2.0,1,23,There Be Dragons,2011,1
126,2630916,0.0,0.0,0.0,0.0,3.0,2,50,Pump,2014,0
127,2431286,0.0,0.0,0.0,0.0,4.0,3,68,Philomena,2013,1
128,2369135,0.0,0.0,0.0,3.0,3.0,1,11,Need for Speed,2014,1
129,1234548,0.0,0.0,0.0,2.0,2.0,3,37,The Men Who Stare at Goats,2009,2
130,1560957,0.0,0.0,0.0,0.0,1.0,3,22,I Want Your Money,2010,0
131,1262416,0.0,0.0,0.0,3.0,2.0,1,65,Scream 4,2011,2
132,1220198,0.0,0.0,0.0,2.0,2.0,3,61,The Fourth Kind,2009,1
133,1334260,0.0,0.0,0.0,0.0,3.0,2,21,Never Let Me Go,2010,2
134,2170439,0.0,0.0,0.0,3.0,3.0,3,66,Horrible Bosses 2,2014,2
135,1220213,0.0,0.0,0.0,0.0,2.0,2,6,Grace ,2009,2
136,1598778,0.0,0.0,0.0,3.0,3.0,2,66,Contagion,2011,1
137,1430626,0.0,0.0,0.0,3.0,3.0,1,56,The Pirates! Band of Misfits,2012,0
138,1091722,0.0,0.0,0.0,2.0,3.0,1,33,Adventureland,2009,2
139,2364841,0.0,0.0,0.0,3.0,2.0,3,20,Runner Runner,2013,2
140,1092633,0.0,0.0,0.0,2.0,2.0,2,43,"The Goods: Live Hard, Sell Hard",2009,2
141,2402157,0.0,0.0,0.0,3.0,3.0,2,49,The November Man,2014,2
142,1135084,0.0,0.0,0.0,2.0,2.0,2,51,Takers,2010,1
143,427152,0.0,0.0,0.0,3.0,2.0,2,38,Dinner for Schmucks,2010,1
144,1630036,0.0,0.0,0.0,1.0,3.0,2,60,Courageous,2011,1
145,1637706,0.0,0.0,0.0,2.0,3.0,2,68,Our Idiot Brother,2011,2
